总价(万),单价(元/平米),房型,楼层,朝向,户型结构,装修情况,总面积,建造时间,小区名称,地区,是否有电梯,建筑结构,梯户比例,total_price,unit_price,total_area,build_year,community,district,room_cnt,hall_cnt,toilet_cnt,floor_level,floor_code,direction_clean,is_south_facing,decoration_type,decoration_score,area_range,house_age,age_range,price_level,elevator_num,household_num,density,is_valid
72.0,7837,3室2厅1卫,低楼层,南北,平层,精装,91.88,2013,恒大文化旅游城B区,岳麓,有,框架结构,两梯四户,72.0,7837,91.88,2013,恒大文化旅游城B区,岳麓,3,2,1,低楼层,1,南北通透,1,精装,3,中户型(90-144㎡),13,老房(11-20年),豪宅,,,,1
40.0,8548,1室1厅1卫,高楼层,南,平层,精装,46.8,2011,藏珑湖上国际花园,开福,有,钢混结构,四梯二十四户,40.0,8548,46.8,2011,藏珑湖上国际花园,开福,1,1,1,高楼层,3,正南,1,精装,3,小户型(<90㎡),15,老房(11-20年),豪宅,4.0,24.0,6.0,1
182.0,16519,3室2厅2卫,低楼层,南北,平层,精装,110.18,2015,振业城二期,岳麓,有,钢混结构,两梯四户,182.0,16519,110.18,2015,振业城二期,岳麓,3,2,2,低楼层,1,南北通透,1,精装,3,中户型(90-144㎡),11,老房(11-20年),豪宅,,,,1
155.0,13289,3室2厅2卫,中楼层,南,平层,精装,116.64,2013,星城荣域,天心,有,钢混结构,两梯两户,155.0,13289,116.64,2013,星城荣域,天心,3,2,2,中楼层,2,正南,1,精装,3,中户型(90-144㎡),13,老房(11-20年),豪宅,,,,1
39.8,2963,3室2厅2卫,中楼层,南北,平层,简装,134.35,2013,春城商业广场,宁乡,有,钢混结构,其他,39.8,2963,134.35,2013,春城商业广场,宁乡,3,2,2,中楼层,2,南北通透,1,简装,2,中户型(90-144㎡),13,老房(11-20年),豪宅,,,,1
129.8,10334,4室2厅2卫,中楼层,南北,平层,精装,125.61,2016,紫鑫御湖湾,望城,有,钢混结构,两梯四户,129.8,10334,125.61,2016,紫鑫御湖湾,望城,4,2,2,中楼层,2,南北通透,1,精装,3,中户型(90-144㎡),10,次新房(6-10年),豪宅,,,,1
58.0,6583,2室2厅1卫,高楼层,南,平层,精装,88.11,2020,广悦星苑,长沙县,有,钢混结构,其他,58.0,6583,88.11,2020,广悦星苑,长沙县,2,2,1,高楼层,3,正南,1,精装,3,小户型(<90㎡),6,次新房(6-10年),豪宅,,,,1
83.8,7287,3室1厅2卫,低楼层,南北,平层,精装,115.0,2014,富基世纪公园,望城,有,钢混结构,两梯四户,83.8,7287,115.0,2014,富基世纪公园,望城,3,1,2,低楼层,1,南北通透,1,精装,3,中户型(90-144㎡),12,老房(11-20年),豪宅,,,,1
120.0,8956,4室2厅2卫,高楼层,南北,平层,其他,134.0,2010,湘翰御舍,天心,有,钢混结构,其他,120.0,8956,134.0,2010,湘翰御舍,天心,4,2,2,高楼层,3,南北通透,1,其他,0,中户型(90-144㎡),16,老房(11-20年),豪宅,,,,1
145.0,10584,4室2厅2卫,中楼层,南,平层,毛坯,137.0,2013,润和谷山郡,望城,有,钢混结构,其他,145.0,10584,137.0,2013,润和谷山郡,望城,4,2,2,中楼层,2,正南,1,毛坯,1,中户型(90-144㎡),13,老房(11-20年),豪宅,,,,1
